연구현황,연구정보,연구의뢰자,연구비지원기관,연구종류,임상시험단계,중재종류,등록번호,연구고유번호,연구대상/질환,등록일,최종갱신일,첫환자등록일자,연구종료일,주요결과변수
모집 중(Recruiting),"경도인지저하자에서 인지기능 향상에 미치는 DW2009의 유효성 및 안전성을 평가하기 위한 12주, 다기관, 무작위배정, 이중눈가림, 위약대조 인체적용시험 - Effect of DW2009 on the Mild Cognitive Impairment for the Efficacy and Safety; A 12week, Multi-center, Randomized, Double-blind, Placebo-Controlled Clinical Trial",전북대학교병원,동화약품(주)(Dongwha Pharmaceutical),중재연구(Interventional Study),해당사항없음(Not applicable),기타(Others),KCT0002346,2016-08-006,Mild Cognitive Impairment,2017-06-07,2017-05-18,2016-12-02,,baseline으로부터 12주까지의 CNT(Computerized NeuroCognitive Function test) 점수의 변화 (Changes in the scores of CNT(Computerized NeuroCognitive Function test) between baseline and after 12 weeks of the treatment )
모집 중(Recruiting),"전립선비대증 변증도구의 타당도와 신뢰도 평가 및 IPSS, 요속, 잔뇨량, 체질(KS 15) 등과의 상관관계 연구 - A study to evaluate the validity and reliability of instrument of pattern identification for Benign Prostatic Hyperplasia and to analyze correlation between IPSS, uroflowmetry, the remaining urine amounts, sasang constitution",대전대학교 둔산한방병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0002345,DJDSKH-16-BM-20,Prostatic Hyperplasia [C12.294.565.500],2017-06-02,2017-05-19,2017-03-23,,"전립선비대증 변증도구의 신뢰도(reliability of instrument of pattern identification for Benign Prostatic Hyperplasia)전립선비대증 변증도구의 타당도(validity of instrument of pattern identification for Benign Prostatic Hyperplasia)변증도구 점수와 IPSS, 요속, 잔뇨량, 체질 등의 결과에 대한 상관분석( analyze correlation between IPSS, uroflowmetry, the remaining urine amounts, sasang constitution and instrument of pattern identification for Benign Prostatic Hyperplasia)"
연구종결(Completed),중환자실 입실 환자에게 아로마테라피가 스트레스 및 수면의 질에 미치는 효과 - Effects on the stress and the quality of sleep applying aromatherapy admitted to ICU patients,을지대학교,한국연구재단(National Research Foundation),중재연구(Interventional Study),해당사항없음(Not applicable),기타(Others),KCT0002344,EMC 2016-01-003-004,"Intensive Care Units Patients (Heart disease, Lung disease, Stomach disease, Kidney disease, Brain disease)",2017-06-01,2017-05-18,2016-07-01,2016-10-15,지각된 스트레스(Perceived Stress)수면의 질(Sleep Quality)스트레스 지수(Stress index)
모집 중(Recruiting),자발성 두개강내 저혈압 환자에서 경막외 자가혈 봉합술 위치의 영향 - The influence of epidural blood patch level for patients with spontaneous intracranial hypotension,삼성서울병원,삼성서울병원(Samsung Medical Center),관찰연구(Observational Study),,,KCT0002343,IRB 2016-08-154,자발성 두개내 저혈압,2017-06-01,2017-05-18,2016-10-01,2017-07-31,새는 부위(Leakage site)
모집 중(Recruiting),"소아에서 Air-Q sp, LMA supreme을 이용한 기도 관리 시 임상 실무 수행의 무작위 비교 - A randomised comparison of self-pressurised air-Q intubating laryngeal airway with LMA supreme in children",충남대학교병원,충남대학교병원(Chungnam National University Hospital),중재연구(Interventional Study),해당사항없음(Not applicable),의료기구(Medical Device),KCT0002342,CNUH 2016-01-050-002,전신 마취가 계획되어 있는 나이 1~7세 사이 소아 환아,2017-06-01,2017-05-18,2016-05-13,2017-08-30,기도 누출 (airway leakage (sealing의 정도))
"모집추가없이 진행중(Active, not recruiting)","건강한 성인에서 아세클로페낙(Aceclofenac) 200 mg과 에스오메프라졸(Esomeprazole) 20 mg 투여 시 약물상호작용을 평가하기 위한 무작위배정, 공개, 단회, 3-way 교차 임상시험 - A randomized, open-label, single dose, 3-way crossover study to evaluate the drug-drug interaction between Aceclofenac 200 mg and Esomeprazole 20 mg in healthy volunteers",전북대학교병원,동화약품(주)(Dongwha Pharmaceutical),중재연구(Interventional Study),Phase1,의약품(Drug),KCT0002341,DW6008-I-1,건강한 대상자(Healthy volunteers),2017-06-01,2017-05-17,2017-04-01,2017-04-24,아세클로페낙과 에스오메프라졸의 혈중최고농도(Cmax of of acelofenac and esomeprazole)아세클로페낙과 에스오메프라졸의 혈중-농도곡선하면적(AUClast of of acelofenac and esomeprazole)
연구종결(Completed),"건강한 남성 피험자를 대상으로 실로스타졸 방출조절제제와 실로스타졸 속방정 경구투여시 약동학적 특성을 비교평가하기 위한 무작위배정, 공개, 단회, 공복, 2군, 2기, 교차 임상시험 - A Randomized, Open-label, Single dose, 2-Treatment, 2-Period, 2-Way Crossover Study to Assess the Pharmacokinetic Characteristics of a Cilostazol Controlled-Release Tablet Compared with a Cilostazol Immediate-Release Tablet under Fasted Conditions in Healthy Male Subjects",충남대학교병원,한국유나이티드주식회사(Korea United Pharm),중재연구(Interventional Study),Phase1,의약품(Drug),KCT0002340,CNUH 1003 - 23,Peripheral Arterial Disease,2017-05-29,2017-05-17,2010-04-05,2010-05-03,"Cilostazol, OPC-13015, OPC-13213의 AUClast(AUClast of Cilostazol, OPC-13015, OPC-13213)Cilostazol, OPC-13015, OPC-13213의 Cmax (Cmax of Cilostazol, OPC-13015, OPC-13213)"
모집 중(Recruiting),간이식 수혜자에서 간이식 수술 중 마취심도와 Bispectral index (BIS) 와 Entropy™ 값에 대한 연구 - Comparison of Bispectral index? (BIS) and Entropy™ values in recipients of liver transplantation (LT) : in respect to low Minimal alveolar concentrations in LT,삼성서울병원,삼성서울병원(Samsung Medical Center),관찰연구(Observational Study),,,KCT0002339,SMC 2016-04-106,Living donor Liver transplantation receipients,2017-05-24,2017-05-12,2016-06-02,,BIS 값과 entropy SE 값에 차이가 있는지 확인한다.(comparison of simultaneous values of BIS and entropy SE during isoflurane anesthesia)
모집 중(Recruiting),췌장 고형 종괴성 병변을 가진 환자에서 내시경초음파를 이용한 내시경 비틀림 기법과 표준 세침흡인 기법 간 조직획득율의 차이에 대한 전향적 무작위 비교 연구 - Prospective randomized study comparing torque by twisting the scope and standard technique for EUS-guided tissue acquisition using core biopsy needles in solid pancreatic masses,한림대학교동탄성심병원,한림대학교동탄성심병원(Hallym University Medical Center-Dongtan),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0002338,2017-020-I,solid pancreatic masses,2017-05-24,2017-05-16,2017-04-25,2018-03-30,조직획득율: 조직학적 진단을 내리기에 충분한 질을 가진 조직검체를 얻을 수 있는 확률을 의미한다. 이 때 적절한 조직검체라 함은 세포뿐 만 아니라 간질 구조 등이 모두 적절하게 유지되고 있어 Hematoxylin and eosin (H&E) 염색 외에도 면역조직화학염색이 가능할 정도의 충분한 질을 가진 검체를 의미(the procurement rates of histologic cores that the cyto-pathologist considered to be of optimal quality for histological evaluation of the needle gauge used for the EUS-FNB procedure)
모집 중(Recruiting),조현병 환자 음성증상의 뇌기반 규명을 위한 단계적 기능뇌자기공명영상 비교 연구 - A two-phased study to determine the neural bases of negative symptoms in schizophrenia,연세대학교,한국연구재단(National Research Foundation),관찰연구(Observational Study),,,KCT0002337,4-2015-0148,"schizophrenia: A severe emotional disorder of psychotic depth characteristically marked by a retreat from reality with delusion formation, hallucinations, emotional disharmony, and regressive behavior",2017-05-24,2017-05-11,2015-05-12,,"환자군, 대조군 간 뇌 활성도 차이(comparison of brain activity between schizophrenia and healthy control)"
연구종결(Completed),순수 복강경하 공여 신 적출술과 2개의 포트를 이용한 공여 신 적출술의 전향적 무작위 비교 - A Prospective Randomized Comparison of Pure Laparoscopic and Laparoendoscopic Single-site Plus One Trocar Donor Nephrectomy.,가톨릭대학교,"학교법인가톨릭학원가톨릭대학교서울성모병원(The Catholic University of Korea, Seoul St. Mary's Hospital)",중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0002336,KC15EISI0015,Living Donors,2017-05-23,2017-04-06,2015-03-25,2017-02-10,미용(cosmetic outcome)
연구종결(Completed),거골 안정화 테이핑이 만성 뇌졸중 환자의 균형 및 보행능력에 미치는 영향 - Immediate Effects of Talus-Stabilizing Taping on Balances and Gait Parameters in Chronic Stroke Patients,연세대학교,연세대학교(Yonsei University),중재연구(Interventional Study),Phase3,의료기구(Medical Device),KCT0002335,1041849-201610-BM-055-02,stroke,2017-05-19,2017-05-15,2016-11-14,2016-11-30,정적균형능력(static balance ability)일어나서 걷기 검사(Timed up and go test)
대상자 모집 전(Not yet recruiting),사회공포증 극복 모바일 가상현실 프로그램 효과의 신경생물학적 이해 - Investigation of mobile virtual reality program effectiveness on attenuation of fear of public speaking,연세대학교의과대학 강남세브란스병원,"미래창조과학부(Ministry of Science, ICT & Future Planning)",중재연구(Interventional Study),해당사항없음(Not applicable),행동요인(Behavioral),KCT0002334,3-2017-0046,"MeSH Heading : Phobia, social Tree Number(s): F03.080.725.500 Entry Term(s): Social anxiety disorder",2017-05-18,2017-05-12,2017-06-01,2019-04-24,기능적 자기공명영상(fMRI)의 혈중산소농도의존 (BOLD) 신호(Functional magnetic resonance imaging (fMRI) Blood-oxygen-level dependent (BOLD) response)
연구종결(Completed),장정결 교육 이후 대장내시경 검사까지의 기간이 장정결 정도에 미치는 영향 (2주 이내 vs 2주 이후) - Association appointment waiting times and the quality of bowel preparation for colonoscopy (within 2 week versus after 2 weeks),인제대학교 해운대백병원,인제대학교 해운대백병원(Inje University Haeundae Paik Hospital),관찰연구(Observational Study),,,KCT0002333,HPIRB 2016-11-007-002,"Colonoscopy, Bowel preparation",2017-05-18,2017-05-12,2016-12-26,2017-03-30,장정결 정도 - Boston Bowel Preparation Scale (BBPS)(the quality of bowel preparation - Boston Bowel Preparation Scale (BBPS))
대상자 모집 전(Not yet recruiting),프로포폴을 이용한 전신마취 유도 시 트렌델렌버그 체위의 저혈압 예방 효과 - Preventive effect of tredelenburg position on hypotension induced by propofol,학교법인가톨릭학원가톨릭대학교서울성모병원,"학교법인가톨릭학원가톨릭대학교서울성모병원(The Catholic University of Korea, Seoul St. Mary's Hospital)",중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0002332,KC16EISI0383,hypotension,2017-05-17,2017-05-11,2017-05-15,2020-10-30,혈압(blood pressure)
"모집추가없이 진행중(Active, not recruiting)",파괴된 발치와의 치조제 재생술에서 국내 개발된 이종골의 유효성 평가: 수입 이종골과의 무작위 비교 임상 연구 - Randomized clinical trial on bone graft biomaterials for ridge regeneration of damaged extraction socket: porcine bone versus bovine bone,학교법인연세대학교치과대학치과병원,보건복지부(Ministry of Health & Welfare),중재연구(Interventional Study),해당사항없음(Not applicable),의료기구(Medical Device),KCT0002331,2-2015-0009,chronic periodontitis,2017-05-17,2017-05-11,2015-12-28,2017-09-30,기저치 대비 4개월 후 치조골 높이 변화(Changes in the height of alveolar bone after 4 months compared to baseline)
연구종결(Completed),자침이 뇌의 기능적 연결성에 미치는 영향 - fMRI와 자율신경반응의 결합을 통하여 - Acupuncture effect on Brain Functional Connectivity using fMRI and Poly-organ Autonomic Responses,강동경희대학교의대병원,한국연구재단(National Research Foundation),중재연구(Interventional Study),해당사항없음(Not applicable),기타(Others),KCT0002330,KHNMC-OH-IRB 2009-006,본 연구는 침 자극을 통해 뇌의 기능적 연결성 변화를 관찰하고 이와 관련하여 치료과 연계되는 일반적인 기전을 탐구하는 것이 목적이므로 건강인을 대상으로 수행되었음,2017-05-17,2017-05-11,2009-07-25,2009-11-22,주요 영역의 뇌 기능 연결성의 변화(Alteration of brain functional connectivities in region of interest)
모집 중(Recruiting),"비급성 요통에 대한 추나요법의 유효성, 경제성 평가: 무작위 배정, 대조군 비교, 다기관 임상연구 - Clinical research of Comparative Effectiveness and Cost-effectiveness of Chuna manual therapy for non-acute Low back pain : Multi-center Randomized Controlled Trial",부산대학교한방병원,보건복지부(Ministry of Health & Welfare),중재연구(Interventional Study),해당사항없음(Not applicable),"시술/수술(Procedure/Surgery), 기타(Others)",KCT0002329,2016011,"Low Back Pain; Manipulation, Spinal; Physical Therapy Modalities; Oral Medicine; Comparative Effectiveness Research; Cost-Benefit Analysis",2017-05-16,2017-05-10,2017-03-20,2018-02-28,요배부 통증 정도(Numeric Rating Scale (NRS) of low back pain)
연구종결(Completed),Primary total knee arthroplasty 에서 경골 골 결손에 대한 자발적 onlay bone graft 사용 - Use of autogenous onlay bone graft for tibial bone defects in primary total knee arthroplasty,한국보훈복지의료공단 중앙보훈병원,한국보훈복지의료공단 중앙보훈병원(VHS Medical Center),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0002328,2016-11-001,"Knee, Osteoarthritis",2017-05-15,2017-05-10,2016-11-28,2017-03-01,"방사선 측정 변수를 2 주 간격으로 2번 측정함. 무릎 통증의 임상 점수로 KSS (Knee Society score) 점수를 측정함. 2명의 의사가 전체 환자 군을 측정하여 무릎 통증의 임상 점수 측정에 미세한 개인적 오차가 발생할 수 있음.(At follow-up evaluation, the patients were assessed clinically using Knee Society score (KSS) and range of motion (ROM). Postoperative radiographs and computed tomography (CT) scanning were analyzed for the presence of implant migration, defined as a vertical or angular displacement of the implant by 3 mm or 3°, respectively,[1] and presence of radiolucent lines of ≥1 mm running parallel to the implant margins at the bone cement-prosthesis interface. There can be variation of scroring by two different doctors.)"
연구종결(Completed),얼굴 움직임과 운동-호흡 협응이 생리 및 감정적 변화에 미치는 영향 - Effect of Facial Motor Execution and Motor Respiratory Coordination on Physiological and Emotional Changes,경희대학교,한국연구재단(National Research Foundation),중재연구(Interventional Study),해당사항없음(Not applicable),행동요인(Behavioral),KCT0002327,KHSIRB 2015-021,"본 연구는 일상적인 운동 (손 쥐기, 얼굴 움직임)을 수행하는 동시에 호흡과 시간적으로 협응할 때 생기는 운동 향상 및 자율신경계 변화를 관찰하고, 또한 감정을 유발하는 사진에 의해 발생하는 감정과 이와 관련된 자율신경계 변화를 관찰하여, 기전을 탐구하는 것을 목적으로 하고 있으며 이를 위해 정상인을 대상으로 연구를 진행함.",2017-05-15,2017-05-10,2015-08-17,2015-08-22,운동 능력 향상도(Motor ability enhancement )운동-협응 협응도(Motor-respiratory coordination index)
연구종결(Completed),"침, 수기치료, 그리고 전정재활훈련을 통한 어지럼증 치료효과 - Effects of acupuncture, cervical manipulation and vestibular rehabilitation on dizziness",경희대학교,경희대학교(Kyung Hee University),중재연구(Interventional Study),해당사항없음(Not applicable),기타(Others),KCT0002326,2011-0001,Dizziness [C23.888.592.763.237] 로 경추성 어지럼증 질환,2017-05-15,2017-05-10,2011-07-07,2014-10-30,어지럼증 기능장애지수 (Dizziness Handicap Inventory(DHI))
연구종결(Completed),술전 네포팜의 관절경하 회전근개 봉합술 후 통증 감소 효과 - The preemptive analgesic effect of Nefopam hydrochloride on reducing acute postoperative pain in arthroscopic rotator cuff repair : Randomized controlled study,학교법인가톨릭학원가톨릭대학교서울성모병원,"학교법인가톨릭학원가톨릭대학교서울성모병원(The Catholic University of Korea, Seoul St. Mary's Hospital)",중재연구(Interventional Study),해당사항없음(Not applicable),의약품(Drug),KCT0002325,KC15OISI0446,Rotator cuff tear,2017-05-12,2017-05-08,2015-11-17,2016-11-29,술전 네포팜의 선제적 제통효과(preemptive analgesic effect of preoperative administration of nefopam )
모집 중(Recruiting),한국인 천식 환자의 한의학적 변증에 따른 유전자 다형성 관련 탐색적 연구 - A exploratory study for gene polymorphism based on Korean differentiation­syndrome category in Korean asthma patients,경희대학교한방병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0002324,HI15C0171,Asthma,2017-05-12,2017-05-08,2015-10-23,2017-05-31,유전자 및 후성유전자 다형성과 허실변증과의 연관성(the association between genetic and epigenetic polymorphisms and each characteristic of Deficiency and Excess syndrome group)
모집 중(Recruiting),미다졸람 마취 전 처치가 전신마취 유도 중 마스크 환기에 대해 미치는 영향 - The effect of midazolam premedication on mask ventilation during induction of general anesthesia,분당서울대학교병원,분당서울대학교병원(Seoul National University Bundang Hospital),중재연구(Interventional Study),해당사항없음(Not applicable),의약품(Drug),KCT0002323,B-1703-386-004,"Anesthesia, General Elective Surgical Procedures Adults",2017-05-12,2017-06-11,2017-06-07,,마스크 환기의 난이도 (Warters grading scale)(Difficulty of mask ventilation (Warters grading scale))
"모집추가없이 진행중(Active, not recruiting)",경도인지장애 대상 한의약 치료 효과 증례수집 연구 - A Case research about Oriental medicine remedy for mild Cognitive Impairment,대전대학교,한국한의학연구원(Korea Institute of Oriental Medicine),관찰연구(Observational Study),,,KCT0002322,DJDSKH-16-BM-13,Mild cognitive impairment,2017-05-11,2017-04-27,2016-12-07,,삶의 질 평가(European Quality of life 5 Dimension)
모집 중(Recruiting),선행 조직검사가 대장 측방발육형종양의 내시경점막하절제술의 결과에 미치는 영향 - Effect of the preceding biopsy on results of endoscopic submucosal dissection for colorectal laterally spreading tumor,건국대학교병원,건국대학교병원(Konkuk University Medical Center),관찰연구(Observational Study),,,KCT0002321,KUH1010861,"colorectal laterally spreading tumor, including adenoma or adenocarcinoma",2017-05-11,2017-04-26,2017-04-17,2018-02-01,선행조직검사와 시술합병증 발생률의 관계(the relationship between the preceding biopsy and complications after the procedure)
모집 중(Recruiting),"만성 비특이성 경항통에 대한 매선침의 유효성 및 안전성 평가: 무작위배정, 대조군 비교, 평가자 맹검, 임상연구 - Polydioxanone Thread Embedding Acupuncture as Adjunctive Therapy for Chronic Non-specific Neck Pain : A randomized, controlled, assessor-blinded, clinical trial",대전대학교 둔산한방병원,보건복지부(Ministry of Health & Welfare),중재연구(Interventional Study),해당사항없음(Not applicable),기타(Others),KCT0002320,DJDSKH-16-BM-15,만성 비특이성 경항통 Chronic non-specific neck pain,2017-05-10,2017-04-26,2016-12-13,2017-11-28,목 통증 및 장애 지수(Neck Pain And Disability Scale)(NPAD(Neck Pain And Disability Scale))
연구종결(Completed),"Irsogladine maleate 의 비스테로이드계 항염증제 또는 아스피린에 의한 소화성궤양 및 위염의 예방, 학술, 파일럿연구 - A randomized, double-blind, multicenter clinical trial, Pilot study to evaluate the efficacy and safety of Irsogladine maleate in NSAID or Aspirin induced peptic ulcer and gastritis",분당서울대학교병원,(주)태준제약(Taejoon Pharm),중재연구(Interventional Study),Phase3,의약품(Drug),KCT0002319,B-1404/245-006,8주 이상 비스테로이드계 항염증제 또는 아스피린(하루 80mg 이상)의 지속적 투여가 필요한 자/ condition to take continuous NSAID(non-steroidal anti-inflammatory drug) or aspirin(>80mg/day) therapy longer than 8 weeks,2017-05-10,2017-04-25,2015-01-05,2017-02-15,위내시경에 의한 소화성 궤양(Modified Lanza Score 5) 발생율(peptic ulcer(Modified Lanza Score 5) occurrence confirmed by endoscopy (%))위내시경에 의한 위염(Modified Lanza Score 2-4) 발생율(gastitis(Modified Lanza Score 2-4) occurrence by endoscopy (%))
